iter	RMSE
0	0.4089762781
1	0.4038995718
2	0.3995709534
3	0.3957759541
4	0.3909471258
5	0.3868662882
6	0.3830242048
7	0.3793361691
8	0.3750874879
9	0.3709545714
10	0.366207926
11	0.3621109476
12	0.3580691867
13	0.3540225139
14	0.3501883832
15	0.3462435224
16	0.3429330726
17	0.3396191657
18	0.3352811285
19	0.3321283095
20	0.3286009863
21	0.3254764654
22	0.3224051247
23	0.3188067458
24	0.3153885761
25	0.312479205
26	0.3091047368
27	0.3058272057
28	0.3027355681
29	0.2997588795
30	0.296918954
31	0.2937767515
32	0.2912155367
33	0.28814289
34	0.2852048357
35	0.2828875447
36	0.2804057198
37	0.2779794289
38	0.2756260941
39	0.2731156989
40	0.2707006911
41	0.2684263627
42	0.2660504823
43	0.2637420136
44	0.2615554666
45	0.2591599384
46	0.2563509161
47	0.2540900657
48	0.2518638749
49	0.2498087152
50	0.2473573337
51	0.2454121654
52	0.2427765331
53	0.2408271071
54	0.2388481399
55	0.2368395739
56	0.2345864015
57	0.232321422
58	0.2301270226
59	0.2279632652
60	0.2259298287
61	0.2241768238
62	0.2223432075
63	0.2205214222
64	0.2185824112
65	0.2167764904
66	0.2151069337
67	0.2134437145
68	0.2118186063
69	0.2100085525
70	0.2080399792
71	0.2063256658
72	0.2047894678
73	0.2032985634
74	0.2017053172
75	0.200380158
76	0.1986497623
77	0.1971268913
78	0.1957673242
79	0.1942067438
80	0.1927742392
81	0.1914113108
82	0.1900415083
83	0.1887246136
84	0.1872834213
85	0.1860894552
86	0.1847823193
87	0.1833141593
88	0.181887741
89	0.1806392048
90	0.1794340372
91	0.1782130907
92	0.1766613565
93	0.1754125094
94	0.1741939182
95	0.1731593227
96	0.1721361578
97	0.1710974271
98	0.1699366516
99	0.1689136403
100	0.1679225684
101	0.166628277
102	0.1656268738
103	0.1645313041
104	0.1634528387
105	0.1624734221
106	0.1613609522
107	0.1603154887
108	0.1594265316
109	0.1583946507
110	0.1573056356
111	0.1563905551
112	0.1553232614
113	0.1544011838
114	0.1534665997
115	0.1525627376
116	0.1516191513
117	0.1507823055
118	0.1498876285
119	0.1488880508
120	0.1481092223
121	0.1473523482
122	0.1464394545
123	0.1455751988
124	0.1448025233
125	0.1440157342
126	0.1432270746
127	0.1422671355
128	0.1415428829
129	0.1406839605
130	0.1400114767
131	0.1392174267
132	0.1384945538
133	0.137631989
134	0.1368628206
135	0.1360995976
136	0.1354365064
137	0.1346888254
138	0.1339931026
139	0.1332511149
140	0.1324355077
141	0.1318223798
142	0.1311866541
143	0.1305502332
144	0.1297859611
145	0.1291860234
146	0.1285866224
147	0.1279322749
148	0.1272954723
149	0.1266831856
150	0.1259152525
151	0.1253656491
152	0.1247659454
153	0.1240637413
154	0.1233549269
155	0.1226790067
156	0.1221291611
157	0.121508982
158	0.120878691
159	0.1203372784
160	0.1196952889
161	0.1191166892
162	0.1185017738
163	0.1178911549
164	0.1173354805
165	0.1167509604
166	0.116204364
167	0.1155877151
168	0.1150785508
169	0.114570833
170	0.1139545941
171	0.113439495
172	0.1130135322
173	0.1125245624
174	0.1120799684
175	0.1115119217
176	0.1109673159
177	0.1105052411
178	0.1099658894
179	0.109497567
180	0.1090279081
181	0.1086140864
182	0.1079823987
183	0.1074879835
184	0.1070689438
185	0.1065242789
186	0.1061328562
187	0.1057362653
188	0.1052978119
189	0.1049830413
190	0.1045229939
191	0.1040911832
192	0.1036137495
193	0.1031552782
194	0.1027622761
195	0.1023895994
196	0.1020418333
197	0.1016069639
198	0.1012892478
199	0.1009551048
200	0.1005648282
201	0.1002897398
202	0.09996340236
203	0.09963167703
204	0.09917118428
205	0.0987119161
206	0.098298748
207	0.09798445551
208	0.09766571327
209	0.09730816873
210	0.09690525006
211	0.09659930235
212	0.09630404402
213	0.09590023084
214	0.095487581
215	0.09519922052
216	0.09484324961
217	0.09454273738
218	0.09424540233
219	0.09384017424
220	0.09356424794
221	0.09329660809
222	0.09293470037
223	0.09266156741
224	0.09242865174
225	0.09217420435
226	0.09176901994
227	0.09158299748
228	0.09127673842
229	0.09084352407
230	0.09054033368
231	0.09039254573
232	0.09015713359
233	0.08993066743
234	0.08961518054
235	0.08938309386
236	0.08922522354
237	0.08903135552
238	0.08888452232
239	0.08862402511
240	0.08822504245
241	0.0880846224
242	0.08789346067
243	0.08758375065
244	0.08723596267
245	0.08703523127
246	0.08675069382
247	0.08634780456
248	0.08614177441
249	0.08593456009
250	0.08553286008
251	0.08539124476
252	0.08507368741
253	0.08490381067
254	0.08476023488
255	0.08464213593
256	0.08445380694
257	0.08429092746
258	0.08410349698
259	0.08399977882
260	0.08389560384
261	0.08371986199
262	0.08354292418
263	0.0832032226
264	0.08281173263
265	0.08238781839
266	0.08229102481
267	0.08212891611
268	0.08196840245
269	0.08185358899
270	0.08171963134
271	0.08156744645
272	0.08124266723
273	0.08106296956
274	0.08092885848
275	0.08075260756
276	0.08063844566
277	0.08034185328
278	0.0800482489
279	0.07963051872
280	0.07950027032
281	0.07935075732
282	0.07906221924
283	0.07882236613
284	0.07866035795
285	0.07837764542
286	0.07825426668
287	0.07799229346
288	0.07766725178
289	0.07752351239
290	0.07731418163
291	0.07717705998
292	0.07695591052
293	0.07682042814
294	0.07657589817
295	0.07633356344
296	0.07620171145
297	0.07608090955
298	0.07593914477
299	0.07586109559
300	0.07555800969
301	0.07543806253
302	0.07532765829
303	0.07524980942
304	0.07508423066
305	0.07497711915
306	0.07476702756
307	0.07459693451
308	0.07450093441
309	0.07435918279
310	0.07423539457
311	0.07411520518
312	0.07399598976
313	0.07359441756
314	0.07350305723
315	0.0734468359
316	0.07332940424
317	0.07321429407
318	0.07291211713
319	0.07281229337
320	0.07272235837
321	0.0726274655
322	0.07233063741
323	0.0722256294
324	0.07211028404
325	0.07184382398
326	0.07171214676
327	0.07156045304
328	0.07148041713
329	0.07122248818
330	0.0710549829
331	0.07089840522
332	0.07080256561
333	0.07071606752
334	0.07039844933
335	0.07025222544
336	0.07018003523
337	0.07012231862
338	0.06976871516
339	0.06968789365
340	0.06959941458
341	0.06952558877
342	0.06942675468
343	0.06931499773
344	0.06901813434
345	0.06892706355
346	0.06862629122
347	0.06833297646
348	0.06798980309
349	0.06780407537
350	0.06773525923
351	0.06767203056
352	0.06761075941
353	0.06738477328
354	0.06713204534
355	0.06701490727
356	0.06671737609
357	0.06646393532
358	0.06621974676
359	0.06600629283
360	0.06578042759
361	0.06557954988
362	0.06549764652
363	0.06543016361
364	0.06520572233
365	0.06499516735
366	0.0647741715
367	0.06453190081
368	0.06429424716
369	0.06422802108
370	0.06417141875
371	0.06409485977
372	0.06402240536
373	0.06373669628
374	0.0636725302
375	0.06353567398
376	0.06343959239
377	0.06332125988
378	0.06315225864
379	0.06286101569
380	0.06259167804
381	0.06235595174
382	0.06223743377
383	0.06202946999
384	0.0617493056
385	0.06170341057
386	0.06140169594
387	0.06132870464
388	0.06122112331
389	0.06116560047
390	0.06092508981
391	0.06061224196
392	0.06043100093
393	0.06018222978
394	0.06000026203
395	0.05996174493
396	0.059921993
397	0.0598621382
398	0.05979992645
399	0.0595795561
400	0.05947042896
401	0.05923094232
402	0.05911645918
403	0.05883094323
404	0.05861713133
405	0.05845566411
406	0.05821121154
407	0.05808777654
408	0.05787317851
409	0.05780231828
410	0.05767722016
411	0.05756366159
412	0.05749802002
413	0.05745880613
414	0.0572395062
415	0.05718711926
416	0.05709555244
417	0.05684263202
418	0.05679711594
419	0.05669618029
420	0.05644743625
421	0.05638480065
422	0.05611720282
423	0.05597432322
424	0.05578888048
425	0.05568546873
426	0.05544882232
427	0.05531319157
428	0.05521019321
429	0.0550094493
430	0.05483148667
431	0.05467394699
432	0.05446190309
433	0.05426531526
434	0.05420267288
435	0.05397374601
436	0.05378354266
437	0.05366396925
438	0.05347160897
439	0.05343011501
440	0.05318878289
441	0.05297034311
442	0.05276976105
443	0.05263449486
444	0.05242487518
445	0.05230163432
446	0.0522488328
447	0.0520891788
448	0.0519839888
449	0.05191397244
450	0.0518078394
451	0.05163531968
452	0.05160198763
453	0.05145948153
454	0.05141959097
455	0.05134655254
456	0.0512645068
457	0.05123508593
458	0.05120366534
459	0.05103436423
460	0.05096517075
461	0.05078910628
462	0.05070715159
463	0.05048205266
464	0.05023703854
465	0.05013884459
466	0.04999816187
467	0.04988462971
468	0.04985833602
469	0.04980611645
470	0.04974541583
471	0.04954836698
472	0.04938942253
473	0.04919616048
474	0.04906463102
475	0.04896471427
476	0.048911591
477	0.04886240709
478	0.04870467392
479	0.04854057971
480	0.04844095804
481	0.04841250296
482	0.04838037151
483	0.04823048425
484	0.04819170343
485	0.048015233
486	0.04786596227
487	0.04783712238
488	0.04764806064
489	0.04741575166
490	0.04726272883
491	0.04717338956
492	0.04703339925
493	0.04697647078
494	0.04682293208
495	0.04673368584
496	0.04665528825
497	0.04648183943
498	0.04632476221
499	0.04608880092
500	0.04596762284
501	0.04586734561
502	0.04583755613
503	0.0456933767
504	0.04554337541
505	0.04546239945
506	0.04524395906
507	0.04515230216
508	0.04497094494
509	0.04494842642
510	0.04477235169
511	0.04470687899
512	0.04458855223
513	0.0444437018
514	0.0442569405
515	0.04420946485
516	0.04400967414
517	0.04383553421
518	0.04369392208
519	0.04354482195
520	0.04340986394
521	0.043263356
522	0.04317545486
523	0.04303955123
524	0.04294061107
525	0.04278675871
526	0.04270505429
527	0.04257056212
528	0.04250488336
529	0.04244955196
530	0.04242054719
531	0.04237401726
532	0.04223502019
533	0.04212401673
534	0.04200211822
535	0.04194087385
536	0.04175606961
537	0.04160059664
538	0.04147814255
539	0.04145004926
540	0.04140326822
541	0.0413788018
542	0.04133337947
543	0.0412021745
544	0.0410997383
545	0.04108051721
546	0.04102461511
547	0.04100781761
548	0.04098281516
549	0.04092604082
550	0.04075743483
551	0.04073842155
552	0.04068022382
553	0.0406204824
554	0.0404671701
555	0.04033991002
556	0.04030463024
557	0.0402477937
558	0.04012161033
559	0.04001842169
560	0.03997243226
561	0.03987302852
562	0.03979378232
563	0.03967533901
564	0.03954690473
565	0.03946875677
566	0.03942033645
567	0.03931405123
568	0.03914037338
569	0.03906692278
570	0.0389931828
571	0.03887128915
572	0.03873567131
573	0.03868873901
574	0.03864210058
575	0.03849080937
576	0.03842896765
577	0.03839496481
578	0.03831708837
579	0.03824586088
580	0.03818202822
581	0.03812105164
582	0.03801601928
583	0.03790614965
584	0.03775540722
585	0.03766009297
586	0.03759527753
587	0.03753302286
588	0.03744028356
589	0.03733405636
590	0.03728017116
591	0.03724992107
592	0.0372023098
593	0.03713534771
594	0.03708021055
595	0.03699689866
596	0.03687032856
597	0.03681756238
598	0.03670972645
599	0.03660377653
600	0.03650176732
601	0.03637680123
602	0.03633183377
603	0.03631553831
604	0.03628142186
605	0.03616839536
606	0.03611228559
607	0.03606999182
608	0.03594194957
609	0.03588330073
610	0.03580955433
611	0.03577915345
612	0.0356946488
613	0.03557936545
614	0.03540794534
615	0.0353391715
616	0.03529579954
617	0.03522280788
618	0.03511397977
619	0.03507585093
620	0.03503148688
621	0.03494193655
622	0.03484134823
623	0.03480110104
624	0.03474864014
625	0.03464172142
626	0.03450216048
627	0.03439686567
628	0.03425664588
629	0.03414407685
630	0.03404265027
631	0.03391950603
632	0.03383960078
633	0.03380403087
634	0.03371455829
635	0.03358318526
636	0.0335493765
637	0.03348567273
638	0.03344086179
639	0.03330790286
640	0.03320516653
641	0.03310571225
642	0.03306509072
643	0.0329879114
644	0.03294133829
645	0.03292111479
646	0.03284551796
647	0.03274777984
648	0.03268426059
649	0.03254134697
650	0.03246019057
651	0.03242908041
652	0.03239986204
653	0.03237103804
654	0.03231976065
655	0.03229199054
656	0.03215983315
657	0.03212563766
658	0.03203280598
659	0.0319673126
660	0.03183070536
661	0.03179319073
662	0.03175002721
663	0.03168386681
664	0.0315817415
665	0.03154500111
666	0.03151355913
667	0.03149143727
668	0.03147713519
669	0.03135664558
670	0.03131433512
671	0.03129055813
672	0.03126704628
673	0.03120569115
674	0.03113635328
675	0.03102784964
676	0.03097579353
677	0.03092473586
678	0.03087047113
679	0.03082451507
680	0.03078982368
681	0.03076407199
682	0.0306827289
683	0.03061360294
684	0.0305660852
685	0.03052237956
686	0.03048145128
687	0.03040309333
688	0.03037197475
689	0.03034475555
690	0.03026614063
691	0.03018519972
692	0.03012837716
693	0.03005436454
694	0.03003053328
695	0.02994350303
696	0.02986297986
697	0.02980865745
698	0.02976757563
699	0.02974711578
700	0.02972282701
701	0.02966888304
702	0.02965815953
703	0.02962558164
704	0.02958726852
705	0.02950428086
706	0.02943047933
707	0.02933717475
708	0.02928916938
709	0.02925337675
710	0.02922394115
711	0.02919322793
712	0.02911791667
713	0.02908771937
714	0.0290063761
715	0.02892408309
716	0.02886286893
717	0.02877515594
718	0.02869278422
719	0.02862571745
720	0.02854273
721	0.0285098747
722	0.02841040816
723	0.0282961103
724	0.02819942832
725	0.028117993
726	0.02805006861
727	0.02797799787
728	0.02786357229
729	0.02782959938
730	0.02773878255
731	0.02765895552
732	0.02763096942
733	0.02755353067
734	0.02753033337
735	0.02750377954
736	0.02748499235
737	0.02745296663
738	0.0273778067
739	0.02736577884
740	0.02730092134
741	0.02720064281
742	0.02719101124
743	0.02717303978
744	0.0271541982
745	0.02714518293
746	0.02711720982
747	0.02705273408
748	0.02698448044
749	0.02688679695
750	0.02680484321
751	0.02673710223
752	0.02662549414
753	0.02661047417
754	0.02660229049
755	0.02652874559
756	0.02651775469
757	0.02646797279
758	0.02644096266
759	0.02640145253
760	0.0263637575
761	0.02625761112
762	0.02621392798
763	0.0261323543
764	0.02609440428
765	0.02606932464
766	0.02605430579
767	0.02601417662
768	0.02593335781
769	0.02592395072
770	0.02585861449
771	0.02582999384
772	0.02575661692
773	0.0256925293
774	0.02563630056
775	0.02561390878
776	0.02553662989
777	0.02550305443
778	0.02544860512
779	0.02538151926
780	0.02529796079
781	0.02520486875
782	0.02509239083
783	0.02503438146
784	0.02498600328
785	0.02497364782
786	0.02490707789
787	0.02486329732
788	0.02479555584
789	0.02476467489
790	0.02471180553
791	0.02463788121
792	0.02461446688
793	0.02456794884
794	0.02448185528
795	0.02445010848
796	0.02442524861
797	0.02440491111
798	0.02435532632
799	0.02428593014
800	0.02427166903
801	0.02425280503
802	0.02420853887
803	0.02418194591
804	0.02407223426
805	0.02402680831
806	0.02398110255
807	0.0239530394
808	0.02393506032
809	0.0239201823
810	0.02386710145
811	0.02379697838
812	0.02372749887
813	0.0236582882
814	0.02361487014
815	0.02359128877
816	0.02355195649
817	0.02351560691
818	0.02347666024
819	0.02339579885
820	0.02335411831
821	0.02328109976
822	0.02325410115
823	0.02318191903
824	0.0231052513
825	0.02307609258
826	0.0230099059
827	0.02300039561
828	0.0229308119
829	0.02290961575
830	0.02285535544
831	0.02278923816
832	0.02277594402
833	0.02272125857
834	0.02266865141
835	0.02263311447
836	0.02256065384
837	0.02248718557
838	0.02246585013
839	0.02243330729
840	0.02237357937
841	0.02234880098
842	0.02230238719
843	0.02227969832
844	0.02220996001
845	0.02217269947
846	0.02210752072
847	0.02206922216
848	0.02205106047
849	0.02196983297
850	0.02193592743
851	0.02189917471
852	0.02187211276
853	0.02183698886
854	0.0218236061
855	0.02176996541
856	0.02176199741
857	0.02168192715
858	0.02165545882
859	0.02161752347
860	0.02160451906
861	0.02153681807
862	0.02151038511
863	0.02144677313
864	0.02142273735
865	0.02136431016
866	0.02127253992
867	0.02123559229
868	0.02120754194
869	0.02117696381
870	0.02112045268
871	0.02110060118
872	0.0210501152
873	0.02101403047
874	0.02092393124
875	0.02088571421
876	0.02087429767
877	0.02083595396
878	0.02077255959
879	0.02073199212
880	0.02065276887
881	0.02061438657
882	0.02057646819
883	0.02053667126
884	0.02047397144
885	0.02040843098
886	0.02037351095
887	0.02032030957
888	0.02025050248
889	0.02019570131
890	0.02016694251
891	0.02015774387
892	0.02009135327
893	0.0200527509
894	0.01998816155
895	0.01992570763
896	0.01989238459
897	0.01985767588
898	0.01985035863
899	0.01982701995
900	0.01978470139
901	0.01972342153
902	0.01969991129
903	0.01968021847
904	0.01965533481
905	0.01964182088
906	0.01962326317
907	0.01959126334
908	0.01955484129
909	0.01948828663
910	0.01944169783
911	0.01942542675
912	0.01940316299
913	0.01935284538
914	0.019309207
915	0.01928998584
916	0.01926250106
917	0.01921034575
918	0.019205643
919	0.01915723771
920	0.01910645649
921	0.01909477013
922	0.01903462032
923	0.01898177866
924	0.0189457155
925	0.01890441515
926	0.01889983941
927	0.01886359605
928	0.01884217433
929	0.01882886458
930	0.01875937255
931	0.01871047443
932	0.01869746177
933	0.01864219498
934	0.01863162006
935	0.01861327251
936	0.01855807956
937	0.01852659348
938	0.01850144783
939	0.01847555332
940	0.01843371358
941	0.01841625813
942	0.01836232864
943	0.01834471819
944	0.01831413433
945	0.01827459374
946	0.0182452477
947	0.01822290171
948	0.01817660103
949	0.01812059921
950	0.01809641153
951	0.0180863204
952	0.0180276012
953	0.01800372827
954	0.01795230319
955	0.01791947864
956	0.01787657144
957	0.01784470267
958	0.01781282292
959	0.01777143373
960	0.01771191943
961	0.01768713738
962	0.01764537352
963	0.01759762273
964	0.0175607707
965	0.01754758067
966	0.01752651915
967	0.01751373465
968	0.01747917771
969	0.017427269
970	0.01738512196
971	0.01735076389
972	0.01734306983
973	0.01731872284
974	0.01729281667
975	0.01725927238
976	0.01721482536
977	0.01719017742
978	0.01714867711
979	0.01713050751
980	0.01711537365
981	0.0171092548
982	0.01706904806
983	0.01705328195
984	0.01701039841
985	0.01696244504
