iter	Passed	Remaining
0	0	528
1	0	503
2	1	521
3	1	530
4	1	516
5	2	520
6	2	510
7	2	501
8	3	497
9	3	490
10	3	482
11	4	477
12	4	478
13	4	480
14	5	491
15	5	490
16	6	491
17	6	493
18	6	494
19	7	495
20	7	494
21	8	493
22	8	488
23	8	485
24	8	480
25	9	478
26	9	475
27	9	473
28	10	470
29	10	469
30	10	469
31	11	471
32	11	473
33	12	472
34	12	476
35	12	475
36	13	476
37	13	477
38	14	477
39	14	476
40	14	476
41	15	477
42	15	476
43	15	475
44	16	474
45	16	474
46	16	475
47	17	475
48	17	474
49	18	473
50	18	471
51	18	471
52	19	472
53	19	472
54	19	471
55	20	470
56	20	472
57	21	474
58	21	474
59	21	475
60	22	475
61	22	474
62	22	474
63	23	474
64	23	475
65	24	475
66	24	476
67	25	476
68	25	477
69	25	476
70	26	476
71	26	475
72	26	475
73	27	475
74	27	475
75	28	476
76	28	476
77	28	475
78	29	474
79	29	475
80	30	475
81	30	474
82	30	474
83	31	474
84	31	474
85	31	473
86	32	472
87	32	471
88	32	471
89	33	471
90	33	472
91	34	472
92	34	471
93	34	471
94	35	470
95	35	469
96	35	469
97	36	469
98	36	468
99	37	468
100	37	468
101	37	467
102	38	467
103	38	466
104	38	466
105	39	466
106	39	466
107	40	465
108	40	464
109	40	464
110	41	464
111	41	463
112	41	463
113	42	463
114	42	461
115	43	462
116	43	462
117	43	461
118	44	461
119	44	460
120	44	460
121	45	460
122	45	460
123	46	461
124	46	460
125	46	460
126	47	459
127	47	458
128	47	458
129	48	457
130	48	457
131	48	456
132	49	456
133	49	455
134	50	454
135	50	454
136	50	453
137	51	453
138	51	453
139	51	453
140	52	452
141	52	451
142	52	451
143	53	451
144	53	450
145	53	450
146	54	449
147	54	449
148	55	448
149	55	448
150	55	448
151	56	447
152	56	447
153	56	446
154	57	445
155	57	445
156	57	444
157	58	443
158	58	443
159	58	442
160	59	442
161	59	442
162	59	441
163	60	440
164	60	439
